2024-09-23 22:36:07,458:INFO:Timestamp: 2024-09-23 22:36:07, CPU Usage: 11.3%, RAM Usage: 86.4%, Disk Usage: 36.5%, CPU Temperature: 61.0 °C, Fan Speed: None RPM
2024-09-23 22:36:08,514:INFO:Timestamp: 2024-09-23 22:36:08, CPU Usage: 9.6%, RAM Usage: 86.7%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:36:09,572:INFO:Timestamp: 2024-09-23 22:36:09, CPU Usage: 24.5%, RAM Usage: 86.9%, Disk Usage: 36.5%, CPU Temperature: 61.0 °C, Fan Speed: None RPM
2024-09-23 22:36:10,631:INFO:Timestamp: 2024-09-23 22:36:10, CPU Usage: 49.7%, RAM Usage: 86.8%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:36:11,689:INFO:Timestamp: 2024-09-23 22:36:11, CPU Usage: 27.7%, RAM Usage: 86.8%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:36:12,703:INFO:Timestamp: 2024-09-23 22:36:12, CPU Usage: 35.5%, RAM Usage: 86.9%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:36:13,761:INFO:Timestamp: 2024-09-23 22:36:13, CPU Usage: 27.7%, RAM Usage: 86.9%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:14,799:INFO:Timestamp: 2024-09-23 22:36:14, CPU Usage: 40.5%, RAM Usage: 88.6%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:36:15,820:INFO:Timestamp: 2024-09-23 22:36:15, CPU Usage: 21.4%, RAM Usage: 88.1%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:16,833:INFO:Timestamp: 2024-09-23 22:36:16, CPU Usage: 42.9%, RAM Usage: 88.6%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:17,891:INFO:Timestamp: 2024-09-23 22:36:17, CPU Usage: 30.2%, RAM Usage: 88.9%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:18,954:INFO:Timestamp: 2024-09-23 22:36:18, CPU Usage: 30.3%, RAM Usage: 87.9%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:20,015:INFO:Timestamp: 2024-09-23 22:36:20, CPU Usage: 26.2%, RAM Usage: 87.8%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:21,074:INFO:Timestamp: 2024-09-23 22:36:21, CPU Usage: 22.2%, RAM Usage: 87.6%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:22,133:INFO:Timestamp: 2024-09-23 22:36:22, CPU Usage: 22.5%, RAM Usage: 87.5%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:23,193:INFO:Timestamp: 2024-09-23 22:36:23, CPU Usage: 29.9%, RAM Usage: 87.4%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:24,253:INFO:Timestamp: 2024-09-23 22:36:24, CPU Usage: 27.2%, RAM Usage: 87.2%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:25,315:INFO:Timestamp: 2024-09-23 22:36:25, CPU Usage: 25.5%, RAM Usage: 87.1%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:26,373:INFO:Timestamp: 2024-09-23 22:36:26, CPU Usage: 28.1%, RAM Usage: 87.1%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:27,389:INFO:Timestamp: 2024-09-23 22:36:27, CPU Usage: 33.2%, RAM Usage: 87.1%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:28,406:INFO:Timestamp: 2024-09-23 22:36:28, CPU Usage: 26.0%, RAM Usage: 87.2%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:29,437:INFO:Timestamp: 2024-09-23 22:36:29, CPU Usage: 42.7%, RAM Usage: 87.4%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:30,463:INFO:Timestamp: 2024-09-23 22:36:30, CPU Usage: 68.9%, RAM Usage: 88.5%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:31,525:INFO:Timestamp: 2024-09-23 22:36:31, CPU Usage: 34.5%, RAM Usage: 88.6%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:32,582:INFO:Timestamp: 2024-09-23 22:36:32, CPU Usage: 33.0%, RAM Usage: 88.5%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:33,595:INFO:Timestamp: 2024-09-23 22:36:33, CPU Usage: 32.3%, RAM Usage: 88.5%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:34,618:INFO:Timestamp: 2024-09-23 22:36:34, CPU Usage: 20.1%, RAM Usage: 87.9%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:36:35,675:INFO:Timestamp: 2024-09-23 22:36:35, CPU Usage: 16.6%, RAM Usage: 88.0%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:36,732:INFO:Timestamp: 2024-09-23 22:36:36, CPU Usage: 21.7%, RAM Usage: 87.9%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:37,786:INFO:Timestamp: 2024-09-23 22:36:37, CPU Usage: 19.1%, RAM Usage: 87.7%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:38,843:INFO:Timestamp: 2024-09-23 22:36:38, CPU Usage: 15.6%, RAM Usage: 87.5%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:36:39,860:INFO:Timestamp: 2024-09-23 22:36:39, CPU Usage: 20.0%, RAM Usage: 87.6%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:36:40,875:INFO:Timestamp: 2024-09-23 22:36:40, CPU Usage: 26.7%, RAM Usage: 87.7%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:41,888:INFO:Timestamp: 2024-09-23 22:36:41, CPU Usage: 18.2%, RAM Usage: 87.6%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:36:42,902:INFO:Timestamp: 2024-09-23 22:36:42, CPU Usage: 33.0%, RAM Usage: 88.3%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:43,960:INFO:Timestamp: 2024-09-23 22:36:43, CPU Usage: 31.7%, RAM Usage: 88.3%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:44,993:INFO:Timestamp: 2024-09-23 22:36:44, CPU Usage: 87.5%, RAM Usage: 89.5%, Disk Usage: 36.5%, CPU Temperature: 68.0 °C, Fan Speed: None RPM
2024-09-23 22:36:46,022:INFO:Timestamp: 2024-09-23 22:36:46, CPU Usage: 65.4%, RAM Usage: 87.9%, Disk Usage: 36.5%, CPU Temperature: 66.0 °C, Fan Speed: None RPM
2024-09-23 22:36:47,035:INFO:Timestamp: 2024-09-23 22:36:47, CPU Usage: 34.1%, RAM Usage: 87.4%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:36:48,047:INFO:Timestamp: 2024-09-23 22:36:48, CPU Usage: 22.2%, RAM Usage: 87.5%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:49,059:INFO:Timestamp: 2024-09-23 22:36:49, CPU Usage: 25.2%, RAM Usage: 87.6%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:50,070:INFO:Timestamp: 2024-09-23 22:36:50, CPU Usage: 25.2%, RAM Usage: 87.7%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:51,123:INFO:Timestamp: 2024-09-23 22:36:51, CPU Usage: 11.7%, RAM Usage: 87.6%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:36:52,177:INFO:Timestamp: 2024-09-23 22:36:52, CPU Usage: 18.0%, RAM Usage: 87.6%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:53,189:INFO:Timestamp: 2024-09-23 22:36:53, CPU Usage: 17.0%, RAM Usage: 87.7%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:36:54,205:INFO:Timestamp: 2024-09-23 22:36:54, CPU Usage: 17.1%, RAM Usage: 87.6%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:36:55,218:INFO:Timestamp: 2024-09-23 22:36:55, CPU Usage: 18.9%, RAM Usage: 87.7%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:36:56,230:INFO:Timestamp: 2024-09-23 22:36:56, CPU Usage: 14.6%, RAM Usage: 87.7%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:57,242:INFO:Timestamp: 2024-09-23 22:36:57, CPU Usage: 11.6%, RAM Usage: 87.7%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:36:58,296:INFO:Timestamp: 2024-09-23 22:36:58, CPU Usage: 22.4%, RAM Usage: 87.5%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:36:59,312:INFO:Timestamp: 2024-09-23 22:36:59, CPU Usage: 24.5%, RAM Usage: 88.1%, Disk Usage: 36.5%, CPU Temperature: 66.0 °C, Fan Speed: None RPM
2024-09-23 22:37:00,325:INFO:Timestamp: 2024-09-23 22:37:00, CPU Usage: 42.8%, RAM Usage: 88.0%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:37:01,384:INFO:Timestamp: 2024-09-23 22:37:01, CPU Usage: 40.5%, RAM Usage: 88.4%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:37:02,400:INFO:Timestamp: 2024-09-23 22:37:02, CPU Usage: 25.6%, RAM Usage: 88.3%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:37:03,413:INFO:Timestamp: 2024-09-23 22:37:03, CPU Usage: 25.4%, RAM Usage: 88.3%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:37:04,435:INFO:Timestamp: 2024-09-23 22:37:04, CPU Usage: 20.9%, RAM Usage: 87.9%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:37:05,455:INFO:Timestamp: 2024-09-23 22:37:05, CPU Usage: 29.8%, RAM Usage: 88.0%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:37:06,519:INFO:Timestamp: 2024-09-23 22:37:06, CPU Usage: 32.4%, RAM Usage: 87.9%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
